TradeId,Expiry,CP,2weeks2Mat,Strike,LocalCap,Book,Notional,PresentValueT0,assetId,deltaT0,gammaT0,vegaT0,PresentValueT1,deltaT1,gammaT1,vegaT1,dPx,ddelta,dgamma,dvega
916419,2024-06-19,ZTES,85,1563.495,9.2,AXALIAB,10000000,516391.3555,.RUT,68 ,2.25,-84539.22,501707.58,63.71,-1.07,-92924.43,0.001468377,4.74386E-07,3.32403E-07,0.00083852
916433,2025-06-18,ZTES,111,1563.495,11.5,AXALIAB,10000000,1048109.645,.RUT,65 ,-1.97,-89385.85,1019056.89,94.23,4.97,-102739.47,0.002905276,-2.96347E-06,-6.94296E-07,0.001335362
919583,2024-07-02,ZTES,86,1572.122,8.9,AXALIAB,10000000,444507.7054,.RUT,93 ,-3.54,-89242.41,416498.05,80.62,-0.30,-80615.26,0.002800965,1.24034E-06,-3.24426E-07,-0.000862714
919585,2025-07-02,ZTES,112,1572.122,11.2,AXALIAB,10000000,987804.4844,.RUT,45 ,-56.29,-89342.86,963242.01,108.83,-1.28,-100381.27,0.002456247,-6.35654E-06,-5.50082E-06,0.001103841
923250,2024-07-17,ZTES,87,1555.624,9.3,AXALIAB,10000000,499734.5463,.RUT,132 ,-1.38,-77047.75,499781.38,125.54,0.14,-86668.77,-4.68301E-06,6.3924E-07,-1.52106E-07,0.000962102
923252,2025-07-16,ZTES,113,1555.624,11,AXALIAB,10000000,943365.1827,.RUT,145 ,-2.62,-95932.00,958259.40,140.38,-0.01,-97585.11,-0.001489422,4.59484E-07,-2.60854E-07,0.000165311
926125,2024-07-31,ZTES,88,1550.764,9.3,AXALIAB,10000000,476270.6866,.RUT,197 ,-1.39,-86138.45,479103.52,182.86,-0.51,-88144.24,-0.000283283,1.45316E-06,-8.80058E-08,0.000200579
926127,2025-08-06,ZTES,115,1550.764,11,AXALIAB,10000000,922580.0076,.RUT,218 ,-0.51,-103076.28,926432.09,196.05,-0.51,-101058.22,-0.000385208,2.2148E-06,1.37689E-10,-0.000201806
929888,2024-08-14,ZTES,89,1461.648,9.7,AXALIAB,10000000,1327266.28,.RUT,240 ,-2.01,-89288.81,1337780.11,243.03,-0.82,-94154.94,-0.001051383,-3.50842E-07,-1.19242E-07,0.000486613
929890,2025-08-20,ZTES,116,1461.648,11,AXALIAB,10000000,1698727.382,.RUT,180 ,-41.65,-105015.71,1722725.87,251.68,-8.86,-109965.08,-0.002399848,-7.12813E-06,-3.27903E-06,0.000494936
